Id,quality
1,6.0
2,5.0
3,6.0
4,6.0
5,6.0
6,6.0
7,5.0
8,7.0
9,5.0
10,6.0
11,6.0
12,5.0
13,6.0
14,6.0
15,5.0
16,5.0
17,7.0
18,6.0
19,7.0
20,7.0
21,6.0
22,5.0
23,6.0
24,5.0
25,6.0
26,6.0
27,8.0
28,6.0
29,6.0
30,7.0
31,6.0
32,6.0
33,6.0
34,6.0
35,5.0
36,4.0
37,5.0
38,5.0
39,5.0
40,5.0
41,6.0
42,4.0
43,6.0
44,6.0
45,6.0
46,5.0
47,6.0
48,5.0
49,6.0
50,6.0
51,7.0
52,5.0
53,6.0
54,5.0
55,6.0
56,6.0
57,7.0
58,5.0
59,6.0
60,6.0
61,6.0
62,7.0
63,5.0
64,6.0
65,6.0
66,5.0
67,6.0
68,6.0
69,6.0
70,6.0
71,5.0
72,6.0
73,6.0
74,6.0
75,8.0
76,5.0
77,6.0
78,6.0
79,5.0
80,5.0
81,5.0
82,5.0
83,5.0
84,6.0
85,6.0
86,6.0
87,4.0
88,6.0
89,6.0
90,7.0
91,5.0
92,5.0
93,5.0
94,6.0
95,6.0
96,5.0
97,6.0
98,6.0
99,7.0
100,6.0
101,5.0
102,6.0
103,7.0
104,6.0
105,7.0
106,6.0
107,4.0
108,5.0
109,6.0
110,5.0
111,4.0
112,5.0
113,6.0
114,6.0
115,6.0
116,7.0
117,5.0
118,6.0
119,5.0
120,5.0
121,6.0
122,7.0
123,4.0
124,6.0
125,7.0
126,8.0
127,7.0
128,6.0
129,6.0
130,5.0
131,6.0
132,5.0
133,7.0
134,6.0
135,6.0
136,7.0
137,7.0
138,6.0
139,6.0
140,5.0
141,6.0
142,6.0
143,7.0
144,6.0
145,6.0
146,6.0
147,6.0
148,7.0
149,6.0
150,5.0
151,4.0
152,6.0
153,6.0
154,5.0
155,7.0
156,6.0
157,5.0
158,6.0
159,7.0
160,6.0
161,6.0
162,4.0
163,6.0
164,7.0
165,6.0
166,6.0
167,6.0
168,5.0
169,6.0
170,6.0
171,7.0
172,6.0
173,5.0
174,6.0
175,5.0
176,7.0
177,7.0
178,7.0
179,6.0
180,6.0
181,6.0
182,6.0
183,6.0
184,6.0
185,5.0
186,5.0
187,6.0
188,5.0
189,6.0
190,5.0
191,5.0
192,6.0
193,7.0
194,5.0
195,5.0
196,7.0
197,6.0
198,5.0
199,6.0
200,7.0
201,5.0
202,5.0
203,6.0
204,7.0
205,5.0
206,6.0
207,6.0
208,6.0
209,5.0
210,7.0
211,5.0
212,5.0
213,6.0
214,6.0
215,6.0
216,6.0
217,6.0
218,5.0
219,6.0
220,5.0
221,6.0
222,6.0
223,5.0
224,5.0
225,5.0
226,5.0
227,5.0
228,5.0
229,6.0
230,6.0
231,7.0
232,5.0
233,7.0
234,7.0
235,5.0
236,5.0
237,6.0
238,7.0
239,5.0
240,6.0
241,6.0
242,6.0
243,5.0
244,5.0
245,5.0
246,6.0
247,4.0
248,6.0
249,7.0
250,7.0
251,6.0
252,6.0
253,5.0
254,7.0
255,6.0
256,7.0
257,5.0
258,5.0
259,5.0
260,5.0
261,5.0
262,5.0
263,5.0
264,6.0
265,6.0
266,5.0
267,6.0
268,7.0
269,6.0
270,7.0
271,5.0
272,5.0
273,6.0
274,6.0
275,6.0
276,7.0
277,5.0
278,5.0
279,7.0
280,7.0
281,6.0
282,6.0
283,5.0
284,7.0
285,6.0
286,5.0
287,7.0
288,7.0
289,5.0
290,5.0
291,6.0
292,6.0
293,5.0
294,6.0
295,5.0
296,5.0
297,7.0
298,6.0
299,6.0
300,5.0
301,6.0
302,5.0
303,5.0
304,6.0
305,7.0
306,6.0
307,5.0
308,6.0
309,6.0
310,6.0
311,5.0
312,5.0
313,6.0
314,6.0
315,6.0
316,5.0
317,6.0
318,6.0
319,6.0
320,5.0
321,6.0
322,6.0
323,8.0
324,5.0
325,6.0
326,7.0
327,6.0
328,6.0
329,6.0
330,6.0
331,5.0
332,6.0
333,5.0
334,6.0
335,5.0
336,6.0
337,6.0
338,7.0
339,6.0
340,6.0
341,6.0
342,6.0
343,6.0
344,7.0
345,5.0
346,8.0
347,5.0
348,5.0
349,6.0
350,6.0
351,6.0
352,6.0
353,6.0
354,8.0
355,7.0
356,7.0
357,6.0
358,6.0
359,6.0
360,7.0
361,6.0
362,4.0
363,4.0
364,6.0
365,6.0
366,5.0
367,6.0
368,6.0
369,6.0
370,5.0
371,5.0
372,6.0
373,6.0
374,5.0
375,6.0
376,5.0
377,7.0
378,6.0
379,6.0
380,7.0
381,7.0
382,6.0
383,5.0
384,6.0
385,6.0
386,6.0
387,5.0
388,5.0
389,6.0
390,5.0
391,6.0
392,6.0
393,5.0
394,5.0
395,7.0
396,6.0
397,6.0
398,6.0
399,6.0
400,6.0
401,5.0
402,7.0
403,5.0
404,6.0
405,4.0
406,7.0
407,4.0
408,6.0
409,7.0
410,5.0
411,7.0
412,6.0
413,6.0
414,5.0
415,6.0
416,6.0
417,6.0
418,6.0
419,5.0
420,6.0
421,6.0
422,6.0
423,6.0
424,6.0
425,6.0
426,5.0
427,6.0
428,7.0
429,6.0
430,6.0
431,7.0
432,6.0
433,6.0
434,5.0
435,5.0
436,6.0
437,5.0
438,5.0
439,7.0
440,5.0
441,6.0
442,5.0
443,5.0
444,6.0
445,6.0
446,6.0
447,5.0
448,5.0
449,5.0
450,6.0
451,6.0
452,8.0
453,6.0
454,6.0
455,6.0
456,7.0
457,6.0
458,5.0
459,7.0
460,6.0
461,7.0
462,5.0
463,6.0
464,5.0
465,5.0
466,6.0
467,5.0
468,7.0
469,7.0
470,6.0
471,5.0
472,8.0
473,7.0
474,6.0
475,6.0
476,5.0
477,7.0
478,5.0
479,6.0
480,6.0
481,6.0
482,6.0
483,5.0
484,5.0
485,6.0
486,6.0
487,5.0
488,7.0
489,5.0
490,6.0
491,5.0
492,5.0
493,7.0
494,5.0
495,6.0
496,6.0
497,5.0
498,5.0
499,7.0
500,5.0
501,5.0
502,5.0
503,5.0
504,5.0
505,6.0
506,7.0
507,5.0
508,6.0
509,5.0
510,6.0
511,6.0
512,7.0
513,5.0
514,6.0
515,6.0
516,7.0
517,6.0
518,5.0
519,5.0
520,5.0
521,6.0
522,5.0
523,5.0
524,6.0
525,7.0
526,5.0
527,5.0
528,6.0
529,6.0
530,6.0
531,6.0
532,7.0
533,5.0
534,6.0
535,6.0
536,5.0
537,5.0
538,6.0
539,5.0
540,6.0
541,6.0
542,6.0
543,6.0
544,6.0
545,7.0
546,5.0
547,6.0
548,5.0
549,6.0
550,6.0
551,6.0
552,6.0
553,5.0
554,6.0
555,6.0
556,5.0
557,6.0
558,6.0
559,3.0
560,5.0
561,7.0
562,6.0
563,6.0
564,5.0
565,5.0
566,6.0
567,6.0
568,6.0
569,7.0
570,5.0
571,6.0
572,6.0
573,5.0
574,5.0
575,7.0
576,5.0
577,6.0
578,6.0
579,5.0
580,6.0
581,6.0
582,6.0
583,7.0
584,6.0
585,5.0
586,6.0
587,6.0
588,6.0
589,5.0
590,5.0
591,6.0
592,6.0
593,7.0
594,7.0
595,5.0
596,6.0
597,7.0
598,7.0
599,6.0
600,6.0
601,6.0
602,6.0
603,6.0
604,5.0
605,5.0
606,6.0
607,7.0
608,6.0
609,6.0
610,5.0
611,5.0
612,6.0
613,3.0
614,7.0
615,6.0
616,6.0
617,5.0
618,5.0
619,6.0
620,6.0
621,5.0
622,6.0
623,6.0
624,5.0
625,4.0
626,5.0
627,6.0
628,5.0
629,6.0
630,6.0
631,6.0
632,6.0
633,7.0
634,7.0
635,7.0
636,5.0
637,5.0
638,6.0
639,5.0
640,6.0
641,6.0
642,6.0
643,5.0
644,6.0
645,6.0
646,5.0
647,5.0
648,6.0
649,6.0
650,6.0
651,6.0
652,6.0
653,6.0
654,5.0
655,5.0
656,6.0
657,6.0
658,5.0
659,6.0
660,6.0
661,6.0
662,5.0
663,6.0
664,7.0
665,7.0
666,6.0
667,6.0
668,6.0
669,5.0
670,8.0
671,7.0
672,6.0
673,5.0
674,6.0
675,5.0
676,5.0
677,4.0
678,5.0
679,5.0
680,7.0
681,5.0
682,4.0
683,6.0
684,4.0
685,6.0
686,6.0
687,5.0
688,7.0
689,8.0
690,6.0
691,6.0
692,6.0
693,5.0
694,5.0
695,7.0
696,6.0
697,6.0
698,6.0
699,6.0
700,6.0
701,6.0
702,5.0
703,6.0
704,4.0
705,6.0
706,6.0
707,5.0
708,7.0
709,7.0
710,5.0
711,6.0
712,8.0
713,4.0
714,6.0
715,6.0
716,8.0
717,6.0
718,6.0
719,5.0
720,5.0
721,6.0
722,5.0
723,6.0
724,6.0
725,4.0
726,5.0
727,5.0
728,4.0
729,5.0
730,8.0
731,6.0
732,6.0
733,7.0
734,6.0
735,7.0
736,6.0
737,6.0
738,3.0
739,6.0
740,6.0
741,6.0
742,7.0
743,5.0
744,6.0
745,5.0
746,5.0
747,5.0
748,6.0
749,5.0
750,6.0
751,8.0
752,6.0
753,5.0
754,6.0
755,5.0
756,7.0
757,7.0
758,6.0
759,6.0
760,7.0
761,5.0
762,6.0
763,5.0
764,6.0
765,7.0
766,7.0
767,7.0
768,7.0
769,5.0
770,6.0
771,6.0
772,6.0
773,6.0
774,6.0
775,6.0
776,6.0
777,5.0
778,6.0
779,5.0
780,6.0
781,6.0
782,5.0
783,6.0
784,5.0
785,6.0
786,6.0
787,6.0
788,5.0
789,7.0
790,7.0
791,6.0
792,7.0
793,4.0
794,6.0
795,6.0
796,6.0
797,6.0
798,6.0
799,6.0
800,6.0
801,6.0
802,7.0
803,6.0
804,5.0
805,6.0
806,7.0
807,6.0
808,6.0
809,5.0
810,5.0
811,4.0
812,5.0
813,6.0
814,7.0
815,5.0
816,6.0
817,5.0
818,6.0
819,5.0
820,6.0
821,7.0
822,7.0
823,7.0
824,7.0
825,6.0
826,6.0
827,4.0
828,5.0
829,5.0
830,6.0
831,5.0
832,6.0
833,7.0
834,7.0
835,5.0
836,7.0
837,6.0
838,6.0
839,7.0
840,6.0
841,6.0
842,5.0
843,7.0
844,8.0
845,5.0
846,5.0
847,5.0
848,6.0
849,6.0
850,6.0
851,6.0
852,6.0
853,6.0
854,7.0
855,5.0
856,8.0
857,6.0
858,6.0
859,5.0
860,6.0
861,6.0
862,7.0
863,6.0
864,5.0
865,5.0
866,6.0
867,6.0
868,5.0
869,6.0
870,6.0
871,6.0
872,5.0
873,7.0
874,7.0
875,4.0
876,5.0
877,6.0
878,6.0
879,5.0
880,6.0
881,6.0
882,4.0
883,6.0
884,6.0
885,6.0
886,5.0
887,6.0
888,6.0
889,6.0
890,5.0
891,6.0
892,6.0
893,7.0
894,7.0
895,6.0
896,5.0
897,5.0
898,5.0
899,7.0
900,6.0
901,7.0
902,5.0
903,6.0
904,6.0
905,7.0
906,5.0
907,6.0
908,7.0
909,6.0
910,5.0
911,6.0
912,7.0
913,6.0
914,6.0
915,6.0
916,6.0
917,6.0
918,6.0
919,6.0
920,5.0
921,5.0
922,4.0
923,7.0
924,6.0
925,5.0
926,6.0
927,7.0
928,5.0
929,6.0
930,5.0
931,5.0
932,6.0
933,6.0
934,5.0
935,5.0
936,6.0
937,5.0
938,7.0
939,7.0
940,5.0
941,6.0
942,6.0
943,7.0
944,6.0
945,5.0
946,5.0
947,5.0
948,7.0
949,7.0
950,6.0
951,6.0
952,5.0
953,4.0
954,6.0
955,6.0
956,6.0
957,5.0
958,6.0
959,5.0
960,5.0
961,7.0
962,7.0
963,7.0
964,7.0
965,6.0
966,6.0
967,6.0
968,6.0
969,7.0
970,7.0
971,6.0
972,5.0
973,6.0
974,6.0
975,6.0
976,5.0
977,6.0
978,5.0
979,5.0
